time,id,data
00001311,00000001,37805d8063803780
00001311,00000002,6080918000000a00
00001316,00000001,3680628061804080
00001316,00000002,b380568000000b00
00001321,00000001,ac8063805e802b80
00001321,00000002,59805c8000000b00
00001326,00000001,8f80648061803480
00001326,00000002,5380948000000900
00001331,00000001,378052805f804880
00001331,00000002,2c805d8000000800
00001336,00000001,3280558097805680
00001336,00000002,3780638000000700
00001341,00000001,34802a8062806e80
00001341,00000002,3780608000000800
00001361,00000001,338034805e805980
00001361,00000002,3880528000000a00
00001366,00000001,7d803780de80d980
00001366,00000002,3880618000000800
00001371,00000001,638039805c806b80
00001371,00000002,3780608000000700
00001376,00000001,068136805d805e80
00001376,00000002,9f807d8000000700
00001381,00000001,5581358060806180
00001381,00000002,30805d8000000700
00001386,00000001,5480b5806d806180
00001386,00000002,37807a8000000800
00001391,00000001,4d80398060805e80
00001391,00000002,36805f8000000800
00001396,00000001,63803780b0800c81
00001396,00000002,3680658000000800
00001401,00000001,5d8037805f807d80
00001401,00000002,3780628000000800
00001406,00000001,cb80358061805e80
00001406,00000002,3a80c18000000800
00001411,00000001,8680ac806f806080
00001411,00000002,36807d8000000900
00001416,00000001,8b80b18070806180
00001416,00000002,3680288100000800
00001421,00000001,9d80bf8063806580
00001421,00000002,37804f8000000800
00001426,00000001,8380db806d806380
00001426,00000002,3780618000000800
00001431,00000001,6a803b8060805c80
00001431,00000002,36805b8000000700
00001436,00000001,66803a8062806d80
00001436,00000002,3e80748000000700
00001441,00000001,6c805c804f81a980
00001441,00000002,7780dc8000000800
00001446,00000001,ff8047805d816380
00001446,00000002,d980408000000800
00001450,00000001,cc803e80b8805580
00001451,00000002,bf80728000000800
00001455,00000001,9a80588094805280
00001456,00000002,b180d68000000900
00001460,00000001,5680348062805f80
00001461,00000002,33802b8000000800
00001465,00000001,5e80378061805e80
00001466,00000002,50805d8000000800
00001470,00000001,63803f8065805780
00001471,00000002,3b80748000000700
00001475,00000001,5e80b6806980e680
00001476,00000002,8a80818000000600
00001480,00000001,c4806f808980fd80
00001481,00000002,3983638300000600
00001485,00000001,f5831284f083be81
00001486,00000002,6682b18100000600
00001490,00000001,5b82358356829f80
00001491,00000002,9a80c28000000700
00001495,00000001,7580d0817480a780
